date,return,VaR_normal,VaR_t,exceed_normal,exceed_t
2023-10-02,0.0083111517962546,-0.03845312969931621,-0.07507118866784708,0,0
2023-10-03,-0.0177053890006142,-0.03844257227384025,-0.07506937778710611,0,0
2023-10-04,0.013516800074834,-0.03851231480590804,-0.07517901798159689,0,0
2023-10-05,-0.0029508145949534,-0.0385178616574293,-0.07520369608508566,0,0
2023-10-06,0.0166166558230713,-0.03841989408776376,-0.07504696731300353,0,0
2023-10-09,0.0050870051437676,-0.03842691006423833,-0.07506672035375066,0,0
2023-10-10,0.0055228405034668,-0.03842743242102048,-0.07506528405226802,0,0
2023-10-11,0.0071098514370477,-0.038427274626423744,-0.07505815732089276,0,0
2023-10-12,-0.0034810454168532,-0.03840658365248807,-0.07504064070536716,0,0
2023-10-13,-0.0126496220171965,-0.03839153599493471,-0.07501923600728522,0,0
2023-10-16,0.0112429155999205,-0.038430521384518766,-0.07507803899107077,0,0
2023-10-17,-0.0032808016426599,-0.03843272674596352,-0.07508851286338529,0,0
2023-10-18,-0.013204708501707,-0.03843082302999673,-0.07504413550295685,0,0
2023-10-19,-0.0094007918502514,-0.038488392689424875,-0.07511970310771603,0,0
2023-10-20,-0.0150303525182264,-0.03852513151298081,-0.07515476050662831,0,0
2023-10-23,0.0030129410575883,-0.03859308257538637,-0.0752447667067409,0,0
2023-10-24,0.0096810603674208,-0.03858564166486537,-0.07523839986734662,0,0
2023-10-25,-0.0247804073058794,-0.03858648751904995,-0.07524683615356377,0,0
2023-10-26,-0.0192511176985341,-0.03869411483803676,-0.07542604462222577,0,0
2023-10-27,0.0047896194979433,-0.03878853727602557,-0.07555474916871209,0,0
2023-10-30,0.0112023788648887,-0.03878716032185972,-0.0755551699686833,0,0
2023-10-31,0.0047707793432847,-0.03878659765863615,-0.07557084983060972,0,0
2023-11-01,0.0172081331450835,-0.03878500040114053,-0.07555588455959128,0,0
2023-11-02,0.0179903026105954,-0.03879886937917714,-0.07560618677508907,0,0
2023-11-03,0.0116805072155239,-0.03881370857775967,-0.07566268189395091,0,0
2023-11-06,0.00407090845124,-0.03881551039782859,-0.07568037815428975,0,0
2023-11-07,0.0094083334529546,-0.03881505547623244,-0.07566723535889272,0,0
2023-11-08,0.0006436741752757,-0.03881134183713991,-0.07565370040005952,0,0
2023-11-09,-0.007725274761718,-0.0388118794524499,-0.07565416390548395,0,0
2023-11-10,0.0222332990355296,-0.038832341309742176,-0.07568207279770536,0,0
2023-11-13,-0.0031235354065843,-0.03883713683138063,-0.07574646826274026,0,0
2023-11-14,0.0212979572006499,-0.03878510512407778,-0.0756669731783421,0,0
2023-11-15,0.0007523726378444,-0.038810182539026794,-0.075750914750101,0,0
2023-11-16,0.0008554684535528,-0.03881434684432534,-0.07574069452661297,0,0
2023-11-17,0.0002331389732121,-0.038812296529410914,-0.07573873927886766,0,0
2023-11-20,0.0121013522419772,-0.03881890387944323,-0.07573867525468796,0,0
2023-11-21,-0.0058263425807716,-0.0388162337489068,-0.07575532042228508,0,0
2023-11-22,0.0040846704331967,-0.038838129681830584,-0.07576758620539623,0,0
2023-11-24,-0.0014111493744088,-0.03883907040103282,-0.07576663634970071,0,0
2023-11-27,-0.0008732068226349,-0.0388001980366279,-0.07571015130755576,0,0
2023-11-28,0.0026175738416887,-0.03879010232644623,-0.07569742472935644,0,0
2023-11-29,-0.0009744671698763,-0.03879080278467623,-0.07569766299748333,0,0
2023-11-30,-0.0025171561014785,-0.0387041202206404,-0.07556278051970383,0,0
2023-12-01,0.0028507459032223,-0.038688592559845025,-0.07548716948077436,0,0
2023-12-04,-0.0093269398995365,-0.03862435437143692,-0.07539511185978962,0,0
2023-12-05,0.0025077256906911,-0.03857994000618446,-0.07532321387079824,0,0
2023-12-06,-0.0058005699041929,-0.038582936439450474,-0.07532023571269382,0,0
2023-12-07,0.0138754922665498,-0.03852141758310917,-0.07522233420084526,0,0
2023-12-08,0.0044467265533425,-0.038527589304808985,-0.07524551217481226,0,0
2023-12-11,0.0085057943326711,-0.038457840045641525,-0.075061735989883,0,0
2023-12-12,0.0079327470633314,-0.038457137358952745,-0.07506799748506045,0,0
2023-12-13,0.012637224972904,-0.03838991355261412,-0.07497976379697943,0,0
2023-12-14,-0.0008672296790201,-0.038392243061803846,-0.07498775828783755,0,0
2023-12-15,0.0048221803755854,-0.038335351238944916,-0.07490255940348228,0,0
2023-12-18,0.0062789792346178,-0.03829285006540883,-0.07484835961695696,0,0
2023-12-19,0.0050965305630086,-0.03825997184158525,-0.07475347247730552,0,0
2023-12-20,-0.0149712807375417,-0.03810569815541603,-0.0745111776903529,0,0
2023-12-21,0.0115683156450208,-0.03815378834598176,-0.07458621397221055,0,0
2023-12-22,0.0014947332409747,-0.038116086304259,-0.07455288266218604,0,0
2023-12-26,0.0061031729959717,-0.038089407344556944,-0.07446183030726981,0,0
2023-12-27,0.0020336798671518,-0.03808615481255453,-0.07444414672677187,0,0
2023-12-28,-0.0004863425515067,-0.03808983552311805,-0.07444098664755637,0,0
2023-12-29,-0.0043369670289399,-0.038085958067474286,-0.07440154169367563,0,0
